year,month,day,julday,lat,lon,updep,lowdep,depth,gear,mesh,dataset_ID,Cglac1_abunm2,Cglac2_abunm2,Cglac3_abunm2,Cglac4_abunm2,Cglac5_abunm2,Cglac6_abunm2,Cglac6f_abunm2,Cglac6m_abunm2,Chypc1_abunm2,Chypc2_abunm2,Chypc3_abunm2,Chypc4_abunm2,Chypc5_abunm2,Chypc6_abunm2,Chypc6f_abunm2,Chypc6m_abunm2,Cgla_abunm2,Chyp_abunm2,Cglac1_abunm2_corr,Cglac2_abunm2_corr,Cglac3_abunm2_corr,Cglac4_abunm2_corr,Cglac5_abunm2_corr,Cglac6_abunm2_corr,Cglac6f_abunm2_corr,Cglac6m_abunm2_corr,Chypc1_abunm2_corr,Chypc2_abunm2_corr,Chypc3_abunm2_corr,Chypc4_abunm2_corr,Chypc5_abunm2_corr,Chypc6_abunm2_corr,Chypc6f_abunm2_corr,Chypc6m_abunm2_corr,Cgla_abunm2_corr,Chyp_abunm2_corr
1993,4,9,99,74.98333333,-2.616666667,0,3000,3800,Multinet,150,43,,,,,,,,,0,0,969.84,161.64,188.58,,1347,26.94,0,2694,,,,,,,,,0,0,969.8400023,161.64,188.58,,1347,26.94,0,2694.000002
1993,5,20,140,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,458.125,38.175,0,496.3,,,,,,,,,,,,,,,458.125,38.175,0,496.3
1993,5,20,140,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,360,1305,0,0,390,0,0,0,0,0,0,0,0,2055,0,0,0,0,360,1305,0,0,390,0,0,0,0,0,0,0,0,2055,0
1993,5,23,143,75,-3,0,1500,3662,Multinet,150,43,,,,,,,,,74.28,0,49.5199995,1287.520001,297.12,,767.5600005,0,0,2476.000001,,,,,,,,,74.30324904,0,49.51999962,1287.520001,297.12,,767.5600005,0,0,2476.02325
1993,5,31,151,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,495,45,10,15,1515,0,0,155,0,0,0,0,0,0,0,0,2235,0,496.3115694,45.00154811,10.0000003,15,1515,0,0,155,0,0,0,0,0,0,0,0,2236.313118,0
1993,6,3,154,74.98333333,-4.116666667,0,3000,3710,Multinet,150,43,,,,,,,,,3353.559999,227.360001,113.679999,852.6,341.04,,795.759999,0,0,5684.000001,,,,,,,,,3354.609636,227.3602401,113.6799993,852.6,341.04,,795.759999,0,0,5685.049874
1993,6,4,155,48.66867,-68.58467,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1655.2,,0,1655.2,,,,,,,,,,,,,,,1655.2,,0,1655.2
1993,6,9,160,48.654,-68.58517,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2928.45,,0,2928.45,,,,,,,,,,,,,,,2928.45,,0,2928.45
1993,6,10,161,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,7025,5020,2830,0,4015,0,0,150,0,0,0,0,0,0,0,0,19040,0,7043.613687,5020.172701,2830.000085,0,4015,0,0,150,0,0,0,0,0,0,0,0,19058.78647,0
1993,6,12,163,48.64383,-68.5955,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1973.525,,0,1973.525,,,,,,,,,,,,,,,1973.525,,0,1973.525
