year,month,day,julday,lat,lon,updep,lowdep,depth,gear,mesh,dataset_ID,Cglac1_abunm2,Cglac2_abunm2,Cglac3_abunm2,Cglac4_abunm2,Cglac5_abunm2,Cglac6_abunm2,Cglac6f_abunm2,Cglac6m_abunm2,Chypc1_abunm2,Chypc2_abunm2,Chypc3_abunm2,Chypc4_abunm2,Chypc5_abunm2,Chypc6_abunm2,Chypc6f_abunm2,Chypc6m_abunm2,Cgla_abunm2,Chyp_abunm2
1993,4,9.0,99.0,74.98333333,-2.616666667,0.0,3000.0,3800.0,Multinet,150,43,,,,,,,,,0.0,0.0,969.84,161.64,188.57999999999998,,1347.0,26.94,0.0,2694.0
1993,5,20.0,140.0,48.66667,-68.58333,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,458.125,38.175,0.0,496.3
1993,5,20.0,140.0,66.325,33.65666667,0.0,65.0,65.0,Juday Net (Tropical or Large),168,30,0.0,0.0,0.0,360.0,1305.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.0,0.0
1993,5,23.0,143.0,75.0,-3.0,0.0,1500.0,3662.0,Multinet,150,43,,,,,,,,,74.28,0.0,49.5199995,1287.5200005,297.12,,767.5600005,0.0,0.0,2476.0000005
1993,5,31.0,151.0,66.325,33.65666667,0.0,65.0,65.0,Juday Net (Tropical or Large),168,30,495.0,45.0,10.0,15.0,1515.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2235.0,0.0
1993,6,3.0,154.0,74.98333333,-4.116666667,0.0,3000.0,3710.0,Multinet,150,43,,,,,,,,,3353.559999,227.360001,113.67999900000001,852.6,341.04,,795.759999,0.0,0.0,5684.000001
1993,6,4.0,155.0,48.66867,-68.58467,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1655.2,,0.0,1655.2
1993,6,9.0,160.0,48.654,-68.58517,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2928.4500000000003,,0.0,2928.4500000000003
1993,6,10.0,161.0,66.325,33.65666667,0.0,65.0,65.0,Juday Net (Tropical or Large),168,30,7025.0,5020.0,2830.0,0.0,4015.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19040.0,0.0
1993,6,12.0,163.0,48.64383,-68.5955,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1973.5249999999999,,0.0,1973.5249999999999
1993,6,15.0,166.0,48.66667,-68.58333,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1400.55,,0.0,1400.55
1993,6,21.0,172.0,48.66767,-68.58617,0.0,250.0,340.0,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2886.0,,0.0,2886.0
